ranges,hit,predict,actual,tp,fp,tn,fn,tpr,fpr
0.6200000000000002,2189.0,2137.4764465642784,4144.0,1535.0,654.0,465.0,371.0,0.8053515215110179,0.5844504021447721
0.6400000000000002,2145.0,2137.4764465642784,4144.0,1514.0,631.0,488.0,392.0,0.7943336831059811,0.5638963360142984
0.6600000000000003,2088.0,2137.4764465642784,4144.0,1488.0,600.0,519.0,418.0,0.7806925498426023,0.5361930294906166
0.6800000000000003,2039.0,2137.4764465642784,4144.0,1458.0,581.0,538.0,448.0,0.7649527806925498,0.5192135835567471
0.7000000000000003,1984.0,2137.4764465642784,4144.0,1420.0,564.0,555.0,486.0,0.74501573976915,0.5040214477211796
0.7200000000000003,1923.0,2137.4764465642784,4144.0,1379.0,544.0,575.0,527.0,0.723504721930745,0.48614834673815904
0.7400000000000003,1768.0,2137.4764465642784,4144.0,1288.0,480.0,639.0,618.0,0.6757607555089192,0.4289544235924933
0.7600000000000003,1621.0,2137.4764465642784,4144.0,1205.0,416.0,703.0,701.0,0.6322140608604407,0.3717605004468275
0.7800000000000004,1341.0,2137.4764465642784,4144.0,1025.0,316.0,803.0,881.0,0.5377754459601259,0.28239499553172476
0.8000000000000004,1177.0,2137.4764465642784,4144.0,917.0,260.0,859.0,989.0,0.48111227701993703,0.2323503127792672
0.8200000000000004,1104.0,2137.4764465642784,4144.0,876.0,228.0,891.0,1030.0,0.459601259181532,0.2037533512064343
0.8400000000000004,1009.0,2137.4764465642784,4144.0,814.0,195.0,924.0,1092.0,0.42707240293809023,0.1742627345844504
0.8600000000000004,904.0,2137.4764465642784,4144.0,732.0,172.0,947.0,1174.0,0.38405036726128017,0.15370866845397677
0.8800000000000004,817.0,2137.4764465642784,4144.0,673.0,144.0,975.0,1233.0,0.3530954879328437,0.128686327077748
0.9000000000000005,703.0,2137.4764465642784,4144.0,586.0,117.0,1002.0,1320.0,0.3074501573976915,0.10455764075067024
0.9200000000000005,590.0,2137.4764465642784,4144.0,499.0,91.0,1028.0,1407.0,0.26180482686253936,0.08132260947274352
0.9400000000000005,424.0,2137.4764465642784,4144.0,370.0,54.0,1065.0,1536.0,0.19412381951731375,0.04825737265415549
0.9600000000000005,308.0,2137.4764465642784,4144.0,275.0,33.0,1086.0,1631.0,0.14428121720881426,0.029490616621983913
0.9800000000000005,136.0,2137.4764465642784,4144.0,125.0,11.0,1108.0,1781.0,0.06558237145855195,0.009830205540661306
