,Date,HomeTeam,AwayTeam,avg_10fthg_h,avg_3fthg_h,expandfthg_h,avg_10ftag_h,avg_3ftag_h,expandftag_h,avg_10hthg_h,avg_3hthg_h,expandhthg_h,avg_10htag_h,avg_3htag_h,expandhtag_h,avg_10hs_h,avg_3hs_h,expandhs_h,avg_10as_h,avg_3as_h,expandas_h,avg_10hst_h,avg_3hst_h,expandhst_h,avg_10ast_h,avg_3ast_h,expandast_h,avg_10hf_h,avg_3hf_h,expandhf_h,avg_10af_h,avg_3af_h,expandaf_h,avg_10hc_h,avg_3hc_h,expandhc_h,avg_10ac_h,avg_3ac_h,expandac_h,avg_10fthg_a,avg_3fthg_a,expandfthg_a,avg_10ftag_a,avg_3ftag_a,expandftag_a,avg_10hthg_a,avg_3hthg_a,expandhthg_a,avg_10htag_a,avg_3htag_a,expandhtag_a,avg_10hs_a,avg_3hs_a,expandhs_a,avg_10as_a,avg_3as_a,expandas_a,avg_10hst_a,avg_3hst_a,expandhst_a,avg_10ast_a,avg_3ast_a,expandast_a,avg_10hf_a,avg_3hf_a,expandhf_a,avg_10af_a,avg_3af_a,expandaf_a,avg_10hc_a,avg_3hc_a,expandhc_a,avg_10ac_a,avg_3ac_a,expandac_a,FTR,avg3_goals_compare,avg3_away_goals_compare,avg3_home_goals_compare
3688,2004-08-21 00:00:00,Liverpool,Man City,1.466666666666667,1.459375000000001,1.5,1.0844444444444445,1.0562500000000008,0.9285714285714286,0.6511111111111111,0.633333333333334,0.7857142857142857,0.4561111111111113,0.445833333333333,0.7857142857142857,12.574444444444445,12.656250000000005,10.571428571428571,9.441666666666665,9.490625000000007,11.142857142857142,6.791666666666665,6.8010416666666655,5.571428571428571,4.936666666666667,4.9343749999999975,5.571428571428571,12.33333333333334,12.422916666666671,13.857142857142858,13.64722222222222,13.609375000000004,13.0,6.104444444444447,6.137500000000001,5.928571428571429,4.6622222222222245,4.716666666666666,5.642857142857143,1.4700000000000002,1.4656250000000013,1.7857142857142858,1.086111111111111,1.0593749999999997,0.5714285714285714,0.652777777777778,0.6354166666666667,1.1428571428571428,0.45388888888888906,0.4458333333333332,0.21428571428571427,12.587777777777779,12.66458333333333,15.357142857142858,9.446666666666665,9.513541666666665,8.142857142857142,6.801111111111111,6.814583333333331,8.142857142857142,4.944999999999997,4.952083333333333,3.857142857142857,12.327777777777781,12.41875000000001,10.714285714285714,13.656666666666666,13.598958333333337,14.214285714285714,6.09722222222222,6.1333333333333355,8.428571428571429,4.6572222222222255,4.709375,4.5,1.0,0.006250000000000311,0.003124999999998934,0.4031250000000002
3689,2004-09-11 00:00:00,Liverpool,West Brom,1.466666666666667,1.459375000000001,1.3095238095238095,1.0844444444444445,1.0562500000000008,1.0238095238095237,0.6511111111111111,0.633333333333334,0.6904761904761905,0.4561111111111113,0.445833333333333,0.5952380952380952,12.574444444444445,12.656250000000005,12.30952380952381,9.441666666666665,9.490625000000007,9.761904761904763,6.791666666666665,6.8010416666666655,6.5476190476190474,4.936666666666667,4.9343749999999975,5.166666666666667,12.33333333333334,12.422916666666671,14.476190476190476,13.64722222222222,13.609375000000004,14.071428571428571,6.104444444444447,6.137500000000001,6.190476190476191,4.6622222222222245,4.716666666666666,5.428571428571429,1.4700000000000002,1.4656250000000013,1.7316339169457575,1.086111111111111,1.0593749999999997,0.902925137514309,0.652777777777778,0.6354166666666667,0.8973059270877968,0.45388888888888906,0.4458333333333332,0.4191889886424955,12.587777777777779,12.66458333333333,14.04213760967144,9.446666666666665,9.513541666666665,8.663999077470633,6.801111111111111,6.814583333333331,7.461939958903196,4.944999999999997,4.952083333333333,4.407368686897017,12.327777777777781,12.41875000000001,12.061070572996055,13.656666666666666,13.598958333333337,13.538093708327192,6.09722222222222,6.1333333333333355,6.934769151168588,4.6572222222222255,4.709375,4.499901656655697,1.0,0.006250000000000311,0.003124999999998934,0.4031250000000002
3690,2004-09-25 00:00:00,Liverpool,Norwich,1.466666666666667,1.459375000000001,1.2580645161290323,1.0844444444444445,1.0562500000000008,0.967741935483871,0.6511111111111111,0.633333333333334,0.6451612903225806,0.4561111111111113,0.445833333333333,0.5,12.574444444444445,12.656250000000005,13.17741935483871,9.441666666666665,9.490625000000007,9.096774193548388,6.791666666666665,6.8010416666666655,7.0,4.936666666666667,4.9343749999999975,4.870967741935484,12.33333333333334,12.422916666666671,13.870967741935484,13.64722222222222,13.609375000000004,13.516129032258064,6.104444444444447,6.137500000000001,6.161290322580645,4.6622222222222245,4.716666666666666,5.096774193548387,1.4700000000000002,1.3333333333333333,1.8064516129032258,1.086111111111111,1.0,0.8387096774193549,0.652777777777778,0.6666666666666666,0.9193548387096774,0.45388888888888906,0.0,0.4032258064516129,12.587777777777779,18.333333333333332,14.96774193548387,9.446666666666665,9.0,8.193548387096774,6.801111111111111,9.666666666666666,7.935483870967742,4.944999999999997,3.0,4.193548387096774,12.327777777777781,14.0,11.661290322580646,13.656666666666666,14.0,12.983870967741936,6.09722222222222,12.0,7.048387096774194,4.6572222222222255,5.333333333333333,4.258064516129032,1.0,0.12604166666666772,0.0562500000000008,0.4031250000000002
3691,2004-10-23 00:00:00,Liverpool,Charlton,1.466666666666667,2.6666666666666665,1.2934782608695652,1.0844444444444445,0.3333333333333333,0.967391304347826,0.6511111111111111,1.3333333333333333,0.6304347826086957,0.4561111111111113,0.3333333333333333,0.45652173913043476,12.574444444444445,17.0,13.065217391304348,9.441666666666665,6.0,8.815217391304348,6.791666666666665,10.333333333333334,7.032608695652174,4.936666666666667,3.3333333333333335,4.423913043478261,12.33333333333334,9.333333333333334,13.23913043478261,13.64722222222222,13.333333333333334,13.282608695652174,6.104444444444447,6.666666666666667,6.25,4.6622222222222245,3.6666666666666665,4.8478260869565215,1.4700000000000002,3.0,1.7316339169457575,1.086111111111111,0.3333333333333333,0.902925137514309,0.652777777777778,1.0,0.8973059270877968,0.45388888888888906,0.0,0.4191889886424955,12.587777777777779,12.666666666666666,14.04213760967144,9.446666666666665,4.0,8.663999077470633,6.801111111111111,8.0,7.461939958903196,4.944999999999997,1.3333333333333333,4.407368686897017,12.327777777777781,12.0,12.061070572996055,13.656666666666666,13.0,13.538093708327192,6.09722222222222,8.0,6.934769151168588,4.6572222222222255,2.6666666666666665,4.499901656655697,1.0,0.3333333333333335,0.0,2.333333333333333
3692,2004-11-06 00:00:00,Liverpool,Birmingham,1.466666666666667,2.6666666666666665,1.3571428571428572,1.0844444444444445,0.0,1.0892857142857142,0.6511111111111111,1.3333333333333333,0.6160714285714286,0.4561111111111113,0.0,0.5089285714285714,12.574444444444445,17.666666666666668,12.8125,9.441666666666665,4.666666666666667,9.875,6.791666666666665,9.333333333333334,6.919642857142857,4.936666666666667,2.3333333333333335,5.116071428571429,12.33333333333334,9.333333333333334,13.366071428571429,13.64722222222222,11.333333333333334,13.303571428571429,6.104444444444447,8.0,6.017857142857143,4.6622222222222245,2.6666666666666665,5.0,1.4700000000000002,1.0,1.8660714285714286,1.086111111111111,0.6666666666666666,0.9821428571428571,0.652777777777778,0.6666666666666666,0.8303571428571429,0.45388888888888906,0.3333333333333333,0.4732142857142857,12.587777777777779,12.0,14.526785714285714,9.446666666666665,6.333333333333333,8.276785714285714,6.801111111111111,6.333333333333333,7.955357142857143,4.944999999999997,2.3333333333333335,4.3125,12.327777777777781,11.333333333333334,12.125,13.656666666666666,16.0,13.678571428571429,6.09722222222222,5.666666666666667,6.839285714285714,4.6572222222222255,3.0,4.446428571428571,2.0,1.6666666666666665,0.6666666666666666,2.6666666666666665
3693,2004-11-13 00:00:00,Liverpool,Crystal Palace,1.466666666666667,1.6666666666666667,1.3739837398373984,1.0844444444444445,0.3333333333333333,1.089430894308943,0.6511111111111111,0.6666666666666666,0.6260162601626016,0.4561111111111113,0.0,0.5203252032520326,12.574444444444445,18.0,12.796747967479675,9.441666666666665,3.6666666666666665,10.284552845528456,6.791666666666665,9.0,6.943089430894309,4.936666666666667,1.0,5.300813008130081,12.33333333333334,12.666666666666666,13.34959349593496,13.64722222222222,13.333333333333334,13.260162601626016,6.104444444444447,6.666666666666667,5.967479674796748,4.6622222222222245,2.3333333333333335,5.162601626016261,1.4700000000000002,0.6666666666666666,1.7316339169457575,1.086111111111111,0.6666666666666666,0.902925137514309,0.652777777777778,0.6666666666666666,0.8973059270877968,0.45388888888888906,0.6666666666666666,0.4191889886424955,12.587777777777779,15.666666666666666,14.04213760967144,9.446666666666665,8.0,8.663999077470633,6.801111111111111,7.666666666666667,7.461939958903196,4.944999999999997,3.6666666666666665,4.407368686897017,12.327777777777781,12.333333333333334,12.061070572996055,13.656666666666666,14.333333333333334,13.538093708327192,6.09722222222222,7.666666666666667,6.934769151168588,4.6572222222222255,4.666666666666667,4.499901656655697,1.0,1.0,0.3333333333333333,1.3333333333333335
3694,2004-11-28 00:00:00,Liverpool,Arsenal,1.466666666666667,1.6666666666666667,1.4315068493150684,1.0844444444444445,1.0,1.143835616438356,0.6511111111111111,0.6666666666666666,0.6575342465753424,0.4561111111111113,0.3333333333333333,0.5684931506849316,12.574444444444445,17.333333333333332,12.76027397260274,9.441666666666665,4.333333333333333,10.143835616438356,6.791666666666665,6.666666666666667,6.917808219178082,4.936666666666667,2.0,5.2465753424657535,12.33333333333334,13.666666666666666,13.191780821917808,13.64722222222222,15.0,13.205479452054794,6.104444444444447,7.666666666666667,5.835616438356165,4.6622222222222245,2.0,5.109589041095891,1.4700000000000002,2.3333333333333335,1.773972602739726,1.086111111111111,2.0,1.0,0.652777777777778,0.3333333333333333,0.8013698630136986,0.45388888888888906,0.3333333333333333,0.4589041095890411,12.587777777777779,8.0,13.54109589041096,9.446666666666665,13.666666666666666,8.623287671232877,6.801111111111111,4.333333333333333,7.445205479452055,4.944999999999997,8.333333333333334,4.363013698630137,12.327777777777781,16.666666666666668,12.45890410958904,13.656666666666666,13.333333333333334,13.780821917808218,6.09722222222222,2.3333333333333335,6.486301369863014,4.6572222222222255,5.0,4.513698630136986,1.0,0.6666666666666667,1.0,0.6666666666666667
3696,2004-12-19 00:00:00,Liverpool,Newcastle,1.466666666666667,2.0,1.4745762711864407,1.0844444444444445,1.3333333333333333,1.0338983050847457,0.6511111111111111,1.0,0.6836158192090396,0.4561111111111113,0.3333333333333333,0.5254237288135594,12.574444444444445,13.666666666666666,13.096045197740112,9.441666666666665,4.666666666666667,9.734463276836157,6.791666666666665,6.333333333333333,7.090395480225989,4.936666666666667,3.3333333333333335,5.084745762711864,12.33333333333334,8.333333333333334,12.864406779661017,13.64722222222222,14.0,13.220338983050848,6.104444444444447,6.333333333333333,6.011299435028248,4.6622222222222245,1.6666666666666667,4.8474576271186445,1.4700000000000002,2.0,1.7316339169457575,1.086111111111111,1.0,0.902925137514309,0.652777777777778,0.0,0.8973059270877968,0.45388888888888906,0.0,0.4191889886424955,12.587777777777779,12.666666666666666,14.04213760967144,9.446666666666665,10.333333333333334,8.663999077470633,6.801111111111111,8.333333333333334,7.461939958903196,4.944999999999997,6.0,4.407368686897017,12.327777777777781,13.0,12.061070572996055,13.656666666666666,12.0,13.538093708327192,6.09722222222222,3.3333333333333335,6.934769151168588,4.6572222222222255,4.0,4.499901656655697,1.0,0.0,0.33333333333333326,0.6666666666666667
3697,2004-12-28 00:00:00,Liverpool,Southampton,1.466666666666667,2.0,1.458762886597938,1.0844444444444445,1.0,1.0051546391752577,0.6511111111111111,1.0,0.6597938144329897,0.4561111111111113,0.3333333333333333,0.5103092783505154,12.574444444444445,12.666666666666666,12.845360824742269,9.441666666666665,5.666666666666667,9.737113402061855,6.791666666666665,6.333333333333333,6.88659793814433,4.936666666666667,3.0,5.061855670103093,12.33333333333334,8.0,12.958762886597938,13.64722222222222,14.666666666666666,13.402061855670103,6.104444444444447,5.666666666666667,5.994845360824742,4.6622222222222245,3.0,4.829896907216495,1.4700000000000002,3.3333333333333335,2.0,1.086111111111111,0.6666666666666666,0.5555555555555556,0.652777777777778,1.3333333333333333,1.0,0.45388888888888906,0.3333333333333333,0.2222222222222222,12.587777777777779,20.333333333333332,15.333333333333334,9.446666666666665,8.333333333333334,8.777777777777779,6.801111111111111,11.333333333333334,7.777777777777778,4.944999999999997,3.6666666666666665,3.888888888888889,12.327777777777781,11.0,10.444444444444445,13.656666666666666,12.333333333333334,13.88888888888889,6.09722222222222,8.666666666666666,8.11111111111111,4.6572222222222255,3.6666666666666665,4.888888888888889,1.0,1.3333333333333335,0.33333333333333337,1.0
3698,2005-01-01 00:00:00,Liverpool,Chelsea,2.0,1.6666666666666667,1.4509803921568627,0.7,0.6666666666666666,0.9950980392156863,1.0,1.0,0.6764705882352942,0.3,0.3333333333333333,0.4950980392156863,16.0,15.333333333333334,12.794117647058824,5.1,5.666666666666667,9.656862745098039,8.1,7.666666666666667,6.872549019607843,2.7,3.0,5.049019607843137,9.9,8.0,12.995098039215685,14.1,13.333333333333334,13.377450980392156,6.7,6.0,6.0,2.9,4.0,4.730392156862745,0.5,0.6666666666666666,1.7316339169457575,2.0,2.6666666666666665,0.902925137514309,0.3,0.6666666666666666,0.8973059270877968,0.5,0.6666666666666666,0.4191889886424955,8.0,7.333333333333333,14.04213760967144,14.0,12.666666666666666,8.663999077470633,3.9,3.6666666666666665,7.461939958903196,8.4,8.666666666666666,4.407368686897017,10.5,12.0,12.061070572996055,12.6,14.333333333333334,13.538093708327192,3.3,5.333333333333333,6.934769151168588,6.7,6.666666666666667,4.499901656655697,2.0,1.0,2.0,1.0
3699,2005-01-15 00:00:00,Liverpool,Man United,1.8,1.3333333333333333,1.4618834080717489,0.7,0.6666666666666666,0.9910313901345291,1.0,1.0,0.6636771300448431,0.2,0.3333333333333333,0.47533632286995514,15.9,16.0,12.511210762331839,5.2,6.0,9.654708520179373,7.8,7.666666666666667,6.766816143497758,3.0,4.0,5.0807174887892375,10.4,10.666666666666666,12.95067264573991,14.0,15.666666666666666,13.27354260089686,6.2,5.0,5.8923766816143495,2.8,3.3333333333333335,4.7757847533632285,0.7,0.3333333333333333,1.7316339169457575,1.4,1.3333333333333333,0.902925137514309,0.1,0.0,0.8973059270877968,0.6,1.0,0.4191889886424955,9.3,7.0,14.04213760967144,14.6,14.0,8.663999077470633,4.9,3.6666666666666665,7.461939958903196,7.8,6.666666666666667,4.407368686897017,15.7,14.0,12.061070572996055,11.9,10.0,13.538093708327192,4.2,7.333333333333333,6.934769151168588,7.1,6.666666666666667,4.499901656655697,2.0,1.0,0.6666666666666666,0.6666666666666666
